Name,Composer,UnitPrice
"For Those About To Rock (We Salute You)","Angus Young, Malcolm Young, Brian Johnson",0.99
"Balls to the Wall",,0.99
"Fast As a Shark","F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",0.99
"Restless and Wild","F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",0.99
"Princess of the Dawn","Deaffy & R.A. Smith-Diesel",0.99
"Put The Finger On You","Angus Young, Malcolm Young, Brian Johnson",0.99
"Let's Get It Up","Angus Young, Malcolm Young, Brian Johnson",0.99
"Inject The Venom","Angus Young, Malcolm Young, Brian Johnson",0.99
Snowballed,"Angus Young, Malcolm Young, Brian Johnson",0.99
"Evil Walks","Angus Young, Malcolm Young, Brian Johnson",0.99
